10-01-2022 20:25:52.167 INFO  c.e.x.controller.XmlController.parseProjectByPath - Run into API: /pathParse
10-01-2022 20:25:52.188 INFO  c.e.x.controller.XmlController.parseProjectByPath - Start building xml tree...
10-01-2022 20:25:52.499 INFO  c.e.x.controller.XmlController.parseProjectByPath - Done parsing xml tree...
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Parsing xml nodes done in 376 ms!
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Recalculating xmlNode id by javaNode id...
10-01-2022 20:26:03.458 INFO  c.e.x.controller.XmlController.analyzeDependency - Run into API: /dependency
10-01-2022 20:26:03.461 INFO  c.e.x.controller.XmlController.analyzeDependency - Analyzing dependency...
10-01-2022 20:26:03.558 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:96:26\div:98:53\h:form:99:25\table:100:56\thead:101:32\tr:102:29\th:108:33\b:108:36 with value messages
10-01-2022 20:26:03.558 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:156:26\div:159:35\div:160:47\table:161:42\tr:162:29\th:163:51\b:163:54 with value messages
10-01-2022 20:26:03.558 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:96:26\div:98:53\h:form:99:25\table:100:56\thead:101:32\tr:102:29\th:106:33\b:106:36 with value messages
10-01-2022 20:26:03.558 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:59:39\div:60:47\strong:61:25 with value messages
10-01-2022 20:26:03.559 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:96:26\div:98:53\h:form:99:25\table:100:56\thead:101:32\tr:102:29\th:103:77\b:104:36 with value messages
10-01-2022 20:26:03.559 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:59:39\div:87:47\h:outputText:89:80 with value enums
10-01-2022 20:26:03.560 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:96:26\div:98:53\h:form:99:25\table:100:56\thead:101:32\tr:102:29\th:109:77\b:109:80 with value menu
10-01-2022 20:26:03.561 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:59:39\div:70:47\address:72:26\o:outputFormat:81:111 with value messages
10-01-2022 20:26:03.562 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:96:26\div:98:53\h:form:99:25\table:100:56\tbody:112:32\ui:repeat:114:80\tr:115:83\td:141:81\p:link:143:117 with value menu
10-01-2022 20:26:03.562 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\cardInvoice.xhtml\html:27:52\c:implementation:44:19\section:45:48\div:59:39\div:70:47\strong:71:25 with value messages
10-01-2022 20:26:03.562 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\formApportionmentBox.xhtml\html:23:52\c:implementation:46:23\div:59:43\p:selectOneMenu:64:76\f:selectItem:72:67 with value menu
